id,location_name,latitude,longitude,year,month,sand,silt,clay,soc,ph,bdod,cec,ndvi,t2m_c,td2m_c,rh_pct,tp_m,ssrd_jm2,lc_type1,ndvi_source,climate_source,lc_source,data_quality_score,created_at,updated_at,nitrogen,phosphorus,potassium,soil_version_year,soil_data_year,npk_estimation_method,npk_correction_date,soc_unit,cec_unit
743,Alexandria,31.2001,29.9187,2017,1,41.9,32.6,25.4,36.4,7.6,1.38,2.1399999999999997,0.2349,13.4995272196187,6.782051361607898,63.804614246028535,0.3176071014157152,5313632119.368421,50,MODIS/MOD13A2,ERA5_LAND,ESA/WorldCover,100.0,2025-11-21 20:19:35.197,2025-11-21 20:19:35.197,0.317,35.0,142.6,2017,2017,"Scientific (Brady&Weil 2008, Sparks 2003, Havlin 2014)",2025-12-25T22:56:39.861521,g/kg,cmol/kg
744,Alexandria,31.2001,29.9187,2017,2,41.9,32.6,25.4,36.4,7.6,1.38,2.1399999999999997,0.25945,14.102348848054532,7.990647698962505,66.63724946601734,0.114083275173195,6185133942.052631,50,MODIS/MOD13A2,ERA5_LAND,ESA/WorldCover,100.0,2025-11-21 20:19:35.197,2025-11-21 20:19:35.197,0.317,35.0,142.6,2017,2017,"Scientific (Brady&Weil 2008, Sparks 2003, Havlin 2014)",2025-12-25T22:56:39.861521,g/kg,cmol/kg
745,Alexandria,31.2001,29.9187,2017,3,41.9,32.6,25.4,36.4,7.6,1.38,2.1399999999999997,0.26755,16.424418125321722,9.963947978268893,65.5782517681743,0.0743036846013214,2725764098.7890844,50,MODIS/MOD13A2,ERA5_LAND,ESA/WorldCover,100.0,2025-11-21 20:19:35.197,2025-11-21 20:19:35.197,0.317,35.0,142.6,2017,2017,"Scientific (Brady&Weil 2008, Sparks 2003, Havlin 2014)",2025-12-25T22:56:39.861521,g/kg,cmol/kg
746,Alexandria,31.2001,29.9187,2017,4,41.9,32.6,25.4,36.4,7.6,1.38,2.1399999999999997,0.23695,18.48000985418849,11.99599707159149,65.91531088582782,0.0569375484028275,10587775460.18421,50,MODIS/MOD13A2,ERA5_LAND,ESA/WorldCover,100.0,2025-11-21 20:19:35.197,2025-11-21 20:19:35.197,0.317,35.0,142.6,2017,2017,"Scientific (Brady&Weil 2008, Sparks 2003, Havlin 2014)",2025-12-25T22:56:39.861521,g/kg,cmol/kg
747,Alexandria,31.2001,29.9187,2017,5,41.9,32.6,25.4,36.4,7.6,1.38,2.1399999999999997,0.22175,22.038071353641044,15.278301514555553,65.4904797588159,0.0306404410362246,12164067843.035088,50,MODIS/MOD13A2,ERA5_LAND,ESA/WorldCover,100.0,2025-11-21 20:19:35.197,2025-11-21 20:19:35.197,0.317,35.0,142.6,2017,2017,"Scientific (Brady&Weil 2008, Sparks 2003, Havlin 2014)",2025-12-25T22:56:39.861521,g/kg,cmol/kg
748,Alexandria,31.2001,29.9187,2017,6,41.9,32.6,25.4,36.4,7.6,1.38,2.1399999999999997,0.2964,25.04862542068753,18.82383957429704,68.37323580840273,0.0003778038558206,12476475578.850876,50,MODIS/MOD13A2,ERA5_LAND,ESA/WorldCover,100.0,2025-11-21 20:19:35.197,2025-11-21 20:19:35.197,0.317,35.0,142.6,2017,2017,"Scientific (Brady&Weil 2008, Sparks 2003, Havlin 2014)",2025-12-25T22:56:39.861521,g/kg,cmol/kg
749,Alexandria,31.2001,29.9187,2017,7,41.9,32.6,25.4,36.4,7.6,1.38,2.1399999999999997,0.21975,27.23513968373624,21.61240576611129,71.38653684860124,0.0010069125583508,12387371763.192982,50,MODIS/MOD13A2,ERA5_LAND,ESA/WorldCover,100.0,2025-11-21 20:22:51.637,2025-11-21 20:22:51.637,0.317,35.0,142.6,2017,2017,"Scientific (Brady&Weil 2008, Sparks 2003, Havlin 2014)",2025-12-25T22:56:39.861521,g/kg,cmol/kg
750,Alexandria,31.2001,29.9187,2017,8,41.9,32.6,25.4,36.4,7.6,1.38,2.1399999999999997,0.2178,27.356348607225755,21.295697566379488,69.51802790069983,0.0021986744008991,11287746291.850878,50,MODIS/MOD13A2,ERA5_LAND,ESA/WorldCover,100.0,2025-11-21 20:22:51.637,2025-11-21 20:22:51.637,0.317,35.0,142.6,2017,2017,"Scientific (Brady&Weil 2008, Sparks 2003, Havlin 2014)",2025-12-25T22:56:39.861521,g/kg,cmol/kg
751,Alexandria,31.2001,29.9187,2017,9,41.9,32.6,25.4,36.4,7.6,1.38,2.1399999999999997,0.21165,25.886561368827017,19.227933663559725,66.71117318786753,0.0028858016862541,2956097328.8605185,50,MODIS/MOD13A2,ERA5_LAND,ESA/WorldCover,100.0,2025-11-21 20:22:51.637,2025-11-21 20:22:51.637,0.317,35.0,142.6,2017,2017,"Scientific (Brady&Weil 2008, Sparks 2003, Havlin 2014)",2025-12-25T22:56:39.861521,g/kg,cmol/kg
752,Alexandria,31.2001,29.9187,2017,10,41.9,32.6,25.4,36.4,7.6,1.38,2.1399999999999997,0.2265,23.161102771237324,15.26826106116266,61.13101492732648,0.0504645821707993,2352832378.5657454,50,MODIS/MOD13A2,ERA5_LAND,ESA/WorldCover,100.0,2025-11-21 20:22:51.637,2025-11-21 20:22:51.637,0.317,35.0,142.6,2017,2017,"Scientific (Brady&Weil 2008, Sparks 2003, Havlin 2014)",2025-12-25T22:56:39.861521,g/kg,cmol/kg
